"","stem.tag","sp.x.x","dbh.2","type","gx","gy","dbh","agb","basal.area","agb.1","agb.2","npp"
"194",270416,"querru",33.5,"deciduous",530.36603,72.994,27.2,0.524440975,581.068977207968,0.410318335449649,0.675084804295667,0.264766468846018
"195",280429,"querru",40.59,"deciduous",548.93597,83.73,38.5,1.27970653,1164.15642769587,0.941352731509604,1.06812671223993,0.126773980730326
"196",280816,"querru",39.48,"deciduous",555.58398,145.62601,36.8,1.141001648,1063.61760879936,0.845040512619587,0.999637679651191,0.154597167031604
"197",290036,"querru",71.63,"deciduous",561.83801,14.5635,67.5,5.122870492,3578.47038197962,3.60194652280729,4.15124319683111,0.549296674023825
"198",300547,"querru",45.48,"deciduous",595.00302,84.0208,43.9,2.645568755,1513.6271944812,1.28822418109296,1.40181961795117,0.113595436858215
"199",301161,"querru",31.23,"deciduous",596.83197,214.741,29.6,0.652813679,688.134454842308,0.502213558088306,0.570858255373352,0.0686446972850462
"200",310238,"querru",41.1,"deciduous",611.42902,37.9746,39.9,1.400847985,1250.36173011037,1.02524217737979,1.10048264480301,0.075240467423213
"201",310623,"querru",43.64,"deciduous",610.139495,99.32225,40.3,1.463259289,1275.55730319216,1.04997825242957,1.27006449912352,0.220086246693953
"202",320485,"querru",62.74,"deciduous",630.375,40.297,60.2,3.886710261,2846.31436007889,2.73991353468735,3.02435406299969,0.284440528312339
"203",330011,"querru",38.83,"deciduous",641.66699,7.88856,37.8,1.221483134,1122.20831178881,0.900962355055908,0.960752021680129,0.0597896666242204
"204",330179,"querru",32.41,"deciduous",649.71698,37.385,31.5,0.766380742,779.311327631118,0.58272475394628,0.623769488811493,0.0410447348652128
"205",330204,"querru",47.72,"deciduous",643.44397,33.1903,45.9,1.992099962,1654.68470462738,1.43295833201694,1.57251676132414,0.1395584293072
"206",330347,"querru",34.3,"deciduous",653.11401,47.0446,33.5,0.897612519,881.413088872786,0.675084804295667,0.714256482225557,0.0391716779298896
"207",330351,"querru",26.32,"deciduous",655.00201,44.1397,26.1,0.471094022,535.021082887976,0.371768043723256,0.379301454961969,0.00753341123871315
"208",330993,"querru",39.93,"deciduous",641.71198,164.69299,37.3,1.180847271,1092.71661075324,0.872740945157707,1.02708549269111,0.154344547533406
"209",331236,"querru",45.5,"deciduous",650.422,194.634,43.5,1.741445289,1486.16967468882,1.26034826458044,1.4032933967149,0.142945132134461
"210",340244,"querru",29.64,"deciduous",668.71399,50.1491,28.8,0.608174027,651.44065264838,0.470380478265614,0.503837095793171,0.0334566175275573
"211",340309,"querru",50.3,"deciduous",674.349,40.564,48.6,2.296944237,1855.07904601824,1.64271388167478,1.78339985866602,0.14068597699124
"212",340419,"querru",28.57,"deciduous",671.10699,64.9283,27.8,0.554981391,606.987116600084,0.432283148392435,0.461452197096435,0.0291690487040002
"213",340591,"querru",38.78,"deciduous",663.30603,113.577,36.2,1.094225745,1029.21716924255,0.812483831388423,0.957797936246454,0.145314104858031
"214",350384,"querru",44.9,"deciduous",699.44397,47.9699,43.6,1.75151013,1493.01049269201,1.26728400351652,1.35947115925316,0.0921871557366363
"215",350903,"querru",48.2,"deciduous",693.87799,164.058,46.3,2.035729179,1683.65018889348,1.46298479388911,1.61058505552478,0.147600261635667
"216",10274,"tsugca",13.81,"coniferous",15.3087,44.4815,14.5,0.068060833,165.129963854314,0.000931339468688809,0.000852181497272295,-7.91579714165143e-05
